Id,City,Country,CreatedById,CreatedDate,Description,FSL__Hide_Emergency_Map__c,FSL__Internal_SLR_Geolocation__Latitude__s,FSL__Internal_SLR_Geolocation__Longitude__s,FSL__NumberOfServicesToDripFeed__c,FSL__Service_Cluster_Min_Size__c,FSL__Service_Cluster_Proximity__c,FSL__System_Jobs__c,FSL__TerritoryLevel__c,GeocodeAccuracy,HOT_DeveloperName__c,IsActive,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,Latitude,Longitude,Name,OperatingHoursId,OwnerId,ParentTerritoryId,PostalCode,State,Street,SystemModstamp,TopLevelTerritoryId,TypicalInTerritoryTravelTime
0Hh1j0000004ZynCAE,,,0052o000009WYLeAAO,2020-09-07T11:07:54.000+0000,,False,,,,,,auto dispatch,0.0,,Trondelag,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Trøndelag,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZynCAE,
0Hh1j0000004ZyTCAU,,,0052o000009WYLeAAO,2020-09-07T11:06:49.000+0000,,False,,,,,,auto dispatch,0.0,,Innlandet,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Innlandet,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZyTCAU,
0Hh1j0000004Zy4CAE,,,0052o000009WYLeAAO,2020-09-07T09:50:07.000+0000,,False,,,,,,auto dispatch,0.0,,Nordland,True,False,0052o000009WYLeAAO,2021-04-26T13:41:13.000+0000,,,,Nordland,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-26T13:41:13.000+0000,0Hh1j0000004Zy4CAE,
0Hh1j0000004ZydCAE,,,0052o000009WYLeAAO,2020-09-07T11:07:22.000+0000,,False,,,,,,auto dispatch,0.0,,Vestfold_og_Telemark,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Vestfold og Telemark,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZydCAE,
0Hh1j0000004ZyYCAU,,,0052o000009WYLeAAO,2020-09-07T11:07:11.000+0000,,False,,,,,,auto dispatch,0.0,,Ost_Viken,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Øst-Viken,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZyYCAU,
0Hh1j0000004WBXCA2,,,0052o000009OsBbAAK,2020-06-09T10:59:39.000+0000,,False,,,,,,sched007_servicesappodispatched;auto dispatch,0.0,,Tromso,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Troms og Finnmark,0OH1j0000004VW6GAM,0052o000009OsBbAAK,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004WBXCA2,
0Hh1j0000004ZyPCAU,,,0052o000009WYLeAAO,2020-09-07T11:06:34.000+0000,,False,,,,,,auto dispatch,0.0,,More_og_Romsdal,True,False,0052o000009WYLeAAO,2021-04-26T13:41:13.000+0000,,,,Møre og Romsdal,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-26T13:41:13.000+0000,0Hh1j0000004ZyPCAU,
0Hh1j0000004XM1CAM,,,0052o000009WYLeAAO,2020-07-10T08:24:24.000+0000,,False,,,,,,sched007_servicesappodispatched;auto dispatch,0.0,,Oslo,True,False,0052o000009WYLeAAO,2021-04-26T13:38:32.000+0000,,,,Oslo,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-26T13:38:32.000+0000,0Hh1j0000004XM1CAM,
0Hh1j0000004ZyiCAE,,,0052o000009WYLeAAO,2020-09-07T11:07:36.000+0000,,False,,,,,,auto dispatch,0.0,,Vestland,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Vestland,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZyiCAE,
0Hh1j0000004ZyJCAU,,,0052o000009WYLeAAO,2020-09-07T11:05:47.000+0000,,False,,,,,,auto dispatch,0.0,,Rogaland,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Rogaland,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZyJCAU,
0Hh1j0000004apcCAA,,,0052o000009WYLeAAO,2020-09-24T09:52:55.000+0000,,False,,,,,,auto dispatch,0.0,,Agder,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Agder,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004apcCAA,
0Hh1j0000004ZyOCAU,,,0052o000009WYLeAAO,2020-09-07T11:06:17.000+0000,,False,,,,,,auto dispatch,0.0,,Vest_Viken,True,False,0052o000009WYLeAAO,2021-04-29T00:19:04.000+0000,,,,Vest-Viken,0OH1j0000004VW6GAM,0052o000009WYLeAAO,,,,,2021-04-29T00:19:04.000+0000,0Hh1j0000004ZyOCAU,
